Iteration,Question 1,Question 2,Question 3,Question 4,Question 5,Question 6,Question 7,Question 8,Question 9,Question 10,Question 11,Question 12,Question 13,Question 14,Question 15,Question 16,Question 17,Question 18,Question 19,Question 20,Question 21,Question 22
1,2,1,2,1,1,3,0,0,0,0,3,0,0,0,0,1,0,1,2,0,1,4
2,0,1,1,1,2,3,0,0,1,0,2,0,0,0,0,2,0,2,1,0,0,1
3,0,1,2,2,1,3,1,0,0,0,3,0,0,0,0,2,0,2,2,0,2,1
4,2,1,2,1,1,3,0,0,0,0,2,0,0,0,0,1,0,3,3,0,0,3
5,2,1,2,2,1,3,0,0,0,0,2,0,0,0,0,2,1,2,2,0,1,1
6,2,1,4,2,1,5,0,0,0,1,2,0,0,0,0,2,0,2,2,0,1,3
7,2,1,2,1,0,4,1,0,0,0,2,0,0,0,0,1,0,2,1,0,0,3
8,2,1,2,0,1,4,0,0,0,0,1,0,0,0,0,1,0,2,2,0,1,3
9,1,1,1,2,1,3,0,0,1,0,3,0,0,0,0,1,0,2,2,0,0,1
10,2,1,2,2,0,5,0,0,0,0,2,0,0,0,0,0,0,3,2,0,0,1
11,2,3,2,2,1,3,0,0,1,0,2,0,0,0,0,2,0,2,3,0,0,1
12,2,1,2,1,2,4,1,0,0,0,2,0,0,0,0,0,1,2,2,0,2,1
13,2,1,1,2,1,3,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,1
14,0,1,2,1,0,3,0,0,2,0,3,0,0,0,0,0,0,2,1,0,0,3
15,1,1,1,1,0,3,0,0,0,0,1,0,0,0,0,1,0,2,2,0,1,3
16,2,1,2,1,2,3,0,0,2,0,3,0,0,0,0,0,0,2,2,0,1,3
17,2,3,2,1,1,3,0,0,0,0,2,0,0,0,0,0,0,2,2,0,1,1
18,1,1,2,1,1,5,0,0,0,0,2,0,0,0,0,1,0,1,3,0,0,1
19,1,1,4,2,1,5,1,0,0,0,2,0,0,0,0,1,0,3,2,0,1,3
20,2,1,2,2,1,3,1,0,1,0,2,0,0,0,0,0,0,3,2,0,0,4
21,2,1,1,2,1,3,0,0,0,0,2,0,0,0,0,2,0,2,2,0,0,3
22,2,1,2,1,0,3,0,0,0,0,2,0,0,0,0,1,0,2,1,0,1,1
23,2,1,2,1,1,4,1,0,2,0,2,0,0,0,0,2,0,2,2,0,0,1
24,2,3,2,1,0,4,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,3
25,2,3,2,1,0,3,0,0,0,0,2,0,0,0,0,2,0,2,3,0,1,1
26,0,1,2,0,1,3,0,0,1,0,2,0,0,0,0,2,0,2,2,0,1,3
27,2,1,2,1,0,4,0,0,1,0,2,0,0,0,0,0,0,2,2,0,0,3
28,2,3,2,1,0,3,0,0,0,0,2,0,0,0,0,2,2,2,2,0,1,1
29,2,1,2,2,1,3,0,0,2,0,3,0,0,0,0,0,0,2,2,0,0,1
30,2,1,2,1,1,4,0,0,0,0,3,0,0,0,0,2,0,2,2,0,1,1
31,1,1,2,1,1,4,0,0,2,1,3,0,0,0,0,2,0,1,2,0,0,3
32,1,1,4,1,0,5,0,0,0,0,1,0,0,0,0,1,0,3,2,0,2,3
33,2,1,2,0,1,4,0,0,2,0,2,0,0,0,0,2,0,2,2,0,0,1
34,1,1,4,1,2,4,0,0,2,0,3,0,0,0,0,1,0,2,1,0,0,3
35,2,1,2,1,0,2,1,0,0,0,2,0,0,0,0,2,0,2,2,0,1,4
36,2,1,2,1,2,3,0,0,0,0,2,0,0,0,0,2,0,1,1,0,1,3
37,2,1,1,1,1,3,0,0,0,0,2,0,0,0,0,1,0,1,1,0,1,3
38,2,1,4,1,1,2,0,0,1,0,1,0,0,0,0,2,0,2,1,0,1,3
39,1,1,2,1,0,3,0,0,0,0,2,0,0,0,0,2,0,2,2,0,1,3
40,2,1,2,1,1,3,0,0,0,0,2,0,0,0,0,1,0,2,2,0,1,1
41,1,1,2,1,2,4,1,0,0,0,2,0,0,0,0,0,0,2,2,0,0,4
42,2,1,2,2,0,3,0,0,0,0,2,0,0,0,0,0,0,2,2,0,1,3
43,0,1,2,1,2,3,1,0,0,0,3,0,0,0,0,2,0,2,1,0,0,3
44,2,1,2,1,1,3,2,0,2,0,2,0,0,0,0,0,0,2,2,0,1,3
45,2,3,2,1,1,3,0,0,0,0,2,0,0,0,0,2,1,2,2,0,1,1
46,2,1,2,2,0,3,0,0,0,0,2,0,0,0,0,2,0,2,3,0,1,3
47,2,1,2,1,0,5,0,0,0,1,2,0,0,0,0,0,0,3,2,0,1,1
48,1,1,2,1,0,3,0,0,0,0,2,0,0,0,0,2,0,3,3,0,2,1
49,2,1,1,1,1,4,0,0,0,0,3,0,0,0,0,1,0,2,3,0,1,1
50,1,1,2,1,2,3,1,0,1,0,2,0,0,0,0,2,0,2,2,0,0,1
