Iteration,Question 1,Question 2,Question 3,Question 4,Question 5,Question 6,Question 7,Question 8,Question 9,Question 10,Question 11,Question 12,Question 13,Question 14,Question 15,Question 16,Question 17,Question 18,Question 19,Question 20,Question 21,Question 22
1,2,0,2,0,0,5,5,1,0,0,3,0,2,0,0,2,2,3,2,0,3,4
2,2,0,2,0,1,5,5,0,0,2,3,2,2,1,0,2,2,2,2,0,2,5
3,2,0,2,0,0,5,5,0,2,0,3,2,2,0,0,0,2,2,0,0,2,4
4,0,2,2,3,0,5,5,0,3,2,3,0,0,0,0,0,2,2,2,0,3,5
5,1,0,2,2,0,5,5,0,3,2,3,0,2,0,0,0,2,0,2,0,2,5
6,0,0,2,0,1,5,5,0,3,0,2,2,2,0,0,2,2,0,2,0,3,5
7,2,0,2,2,0,5,5,0,3,0,3,3,2,0,0,0,2,2,2,0,3,4
8,2,0,2,2,0,5,5,1,3,0,3,2,2,0,0,0,2,2,3,0,2,5
9,2,0,2,0,0,5,5,0,3,2,3,0,2,0,0,2,2,2,2,0,3,5
10,1,0,2,2,0,5,5,0,3,2,,2,2,0,0,2,2,2,2,0,3,5
11,2,0,2,0,0,5,5,0,3,2,3,0,2,0,0,2,2,2,2,0,3,5
12,,0,2,0,1,5,5,0,3,0,3,2,2,0,0,0,2,0,2,0,3,5
13,2,0,2,2,0,5,5,1,3,2,3,2,2,0,0,2,2,2,2,0,3,4
14,0,0,2,0,1,5,5,0,0,2,3,0,2,0,0,2,2,2,0,0,2,4
15,3,0,2,0,1,5,5,0,0,2,3,1,2,0,0,2,2,2,2,0,2,5
16,0,0,2,0,0,5,5,1,0,0,3,2,2,0,0,2,2,2,2,0,2,5
17,2,0,2,0,0,5,5,0,3,0,3,0,2,0,0,0,2,2,2,0,2,4
18,2,0,2,2,0,5,5,0,0,2,2,2,2,0,0,2,2,0,3,0,3,5
19,2,3,2,0,1,5,5,0,0,0,3,2,2,0,0,2,2,2,2,0,2,4
20,0,0,2,0,0,5,5,0,3,1,0,0,2,0,0,0,2,2,0,0,2,4
21,0,0,2,0,0,5,5,0,3,0,3,0,2,0,0,2,2,0,2,0,2,5
22,2,0,2,2,1,5,5,0,0,0,2,0,2,0,0,0,2,2,3,0,2,4
23,0,0,2,2,0,5,5,0,3,2,3,2,2,0,0,2,2,0,0,0,2,4
24,0,0,2,0,0,5,5,,3,2,,2,2,0,0,0,2,2,0,0,2,4
25,2,0,2,0,0,5,5,0,0,0,3,2,2,0,0,2,2,2,2,0,2,5
26,2,0,2,2,0,5,5,,0,0,0,0,3,0,0,0,2,2,2,0,3,4
27,3,0,2,2,0,5,5,,3,2,3,2,2,0,0,0,2,2,0,0,3,4
28,2,0,2,2,,5,5,0,3,2,0,0,2,0,0,2,2,2,2,0,3,4
29,0,0,2,0,0,5,5,0,3,2,0,0,2,0,0,2,2,2,2,0,3,4
30,3,0,2,0,1,5,5,1,3,0,3,0,2,0,0,0,2,0,2,0,3,4
31,2,3,2,2,0,5,5,0,3,0,3,3,2,0,0,2,2,2,0,0,2,4
32,0,0,2,2,0,5,5,0,0,0,3,0,2,0,0,2,2,0,2,0,3,5
33,0,0,2,2,0,5,5,0,3,0,,0,2,0,0,2,2,2,2,0,2,4
34,0,0,2,2,0,5,5,0,3,0,0,0,2,0,0,0,2,2,2,0,3,5
35,0,0,2,3,0,5,5,0,0,2,,0,2,0,0,0,2,2,2,0,3,5
36,3,0,2,0,0,5,5,0,3,0,3,0,2,0,0,2,2,2,2,0,3,4
37,,0,2,0,0,5,5,1,3,2,3,0,0,0,0,0,2,0,2,0,3,4
38,2,0,2,0,0,5,5,1,0,0,3,0,2,0,0,0,2,2,2,0,2,5
39,2,0,2,0,0,5,5,0,3,0,0,0,2,0,0,0,2,2,2,0,3,4
40,2,0,2,0,1,5,5,1,0,2,3,2,2,0,0,2,2,2,2,0,3,4
41,2,0,2,2,0,5,5,0,3,2,3,2,2,0,0,0,2,0,2,0,2,5
42,2,0,2,2,1,5,5,0,3,0,,0,2,0,0,2,2,2,2,0,2,4
43,2,0,2,2,1,5,5,0,3,2,3,0,2,0,0,2,2,2,2,0,3,4
44,0,0,2,2,1,5,5,0,3,2,0,2,2,0,0,0,2,2,3,0,2,4
45,2,0,2,0,0,5,5,1,4,2,,0,2,0,0,0,2,2,2,0,2,4
46,2,0,2,0,0,5,5,0,3,2,0,0,2,0,0,2,2,2,3,0,2,5
47,2,0,2,0,0,5,5,0,3,2,0,2,2,0,0,0,2,0,2,0,2,5
48,0,0,2,2,1,5,5,0,3,0,,0,2,0,0,0,2,2,2,0,2,4
49,2,0,2,0,0,5,5,0,3,2,3,0,2,0,0,2,2,2,2,0,2,5
50,2,0,2,0,0,5,5,0,0,0,3,0,2,0,0,2,2,2,2,0,3,4
